## APC Arm Arr Axin Dally Dlp Dsh Fz Nemo Pan Sgg Targets Nej Gro Boca Pygo Lgs CK1alpha Ttv Slmb Wf Nkd Proteasome Wg Hipk Hyx
# APC (Dsh, APC)
0, 1
1, 0
# Arm (APC, Axin, CK1alpha, Hipk, Proteasome, Sgg, Slmb, Arm)
1, 0, 0, 1, 0, 1, 1, 0
1, 0, 0, 1, 1, 0, 0, 0
1, 0, 0, 1, 1, 0, 1, 0
1, 0, 0, 1, 1, 1, 0, 0
1, 0, 0, 1, 1, 1, 1, 0
1, 0, 1, 0, 0, 0, 0, 0
1, 0, 1, 0, 0, 0, 1, 0
1, 0, 1, 0, 0, 1, 0, 0
1, 0, 1, 0, 0, 1, 1, 0
1, 0, 1, 0, 1, 0, 0, 0
1, 0, 1, 0, 1, 0, 1, 0
1, 0, 1, 0, 1, 1, 0, 0
1, 0, 1, 0, 1, 1, 1, 0
1, 0, 1, 1, 0, 0, 0, 1
1, 0, 1, 1, 0, 0, 1, 1
1, 0, 1, 1, 0, 1, 0, 1
1, 0, 1, 1, 0, 1, 1, 1
1, 0, 1, 1, 1, 0, 0, 1
1, 0, 1, 1, 1, 0, 1, 1
1, 0, 1, 1, 1, 1, 0, 1
1, 0, 1, 1, 1, 1, 1, 1
1, 1, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 1, 0
1, 1, 0, 0, 0, 1, 0, 0
1, 1, 0, 0, 0, 1, 1, 0
1, 1, 0, 0, 1, 0, 0, 0
1, 1, 0, 0, 1, 0, 1, 0
1, 1, 0, 0, 1, 1, 0, 0
1, 1, 0, 0, 1, 1, 1, 0
1, 1, 0, 1, 0, 0, 0, 0
1, 1, 0, 1, 0, 0, 1, 0
1, 1, 0, 1, 0, 1, 0, 0
1, 1, 0, 1, 0, 1, 1, 0
1, 1, 0, 1, 1, 0, 0, 0
1, 1, 0, 1, 1, 0, 1, 0
1, 1, 0, 1, 1, 1, 0, 0
1, 1, 0, 1, 1, 1, 1, 0
1, 1, 1, 0, 0, 0, 0, 0
1, 1, 1, 0, 0, 0, 1, 0
1, 1, 1, 0, 0, 1, 0, 0
1, 1, 1, 0, 0, 1, 1, 0
1, 1, 1, 0, 1, 0, 0, 0
1, 1, 1, 0, 1, 0, 1, 0
1, 1, 1, 0, 1, 1, 0, 0
1, 1, 1, 0, 1, 1, 1, 0
1, 1, 1, 1, 0, 0, 0, 1
1, 1, 1, 1, 0, 0, 1, 1
1, 1, 1, 1, 0, 1, 0, 1
1, 1, 1, 1, 0, 1, 1, 1
1, 1, 1, 1, 1, 0, 0, 1
1, 1, 1, 1, 1, 0, 1, 1
1, 1, 1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1, 1, 0
# Arr (Wg, Arr)
0, 0
1, 1
# Axin (Dsh, Axin)
0, 1
1, 0
# Dally (Ttv, Wf, Dally)
0, 0, 0
0, 1, 0
1, 0, 1
1, 1, 0
# Dlp (Ttv, Wf, Dlp)
0, 0, 0
0, 1, 0
1, 0, 1
1, 1, 0
# Dsh (Arr, Fz, Nkd, Dsh)
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 1
0, 1, 1, 0
1, 0, 0, 1
1, 0, 1, 0
1, 1, 0, 1
1, 1, 1, 0
# Fz (Boca, Wg, Fz)
0, 0, 0
0, 1, 0
1, 0, 0
1, 1, 1
# Nemo (Pan, Nemo)
0, 0
1, 1
# Pan (Arm, Nemo, Pan)
0, 0, 0
0, 1, 0
1, 0, 1
1, 1, 0
# Sgg (Dsh, Sgg)
0, 1
1, 0
# Targets (Gro, Hyx, Lgs, Nej, Pan, Pygo, Targets)
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 1, 1, 0
0, 0, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 0
0, 0, 0, 1, 1, 0, 0
0, 0, 0, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 0
0, 0, 1, 0, 0, 1, 0
0, 0, 1, 0, 1, 0, 0
0, 0, 1, 0, 1, 1, 0
0, 0, 1, 1, 0, 0, 0
0, 0, 1, 1, 0, 1, 0
0, 0, 1, 1, 1, 0, 0
0, 0, 1, 1, 1, 1, 0
0, 1, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 1, 0
0, 1, 0, 0, 1, 0, 0
0, 1, 0, 0, 1, 1, 0
0, 1, 0, 1, 0, 0, 0
0, 1, 0, 1, 0, 1, 0
0, 1, 0, 1, 1, 0, 0
0, 1, 0, 1, 1, 1, 0
0, 1, 1, 0, 0, 0, 0
0, 1, 1, 0, 0, 1, 0
0, 1, 1, 0, 1, 0, 0
0, 1, 1, 0, 1, 1, 0
0, 1, 1, 1, 0, 0, 0
0, 1, 1, 1, 0, 1, 0
0, 1, 1, 1, 1, 0, 0
0, 1, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 1, 0
1, 0, 0, 0, 1, 0, 0
1, 0, 0, 0, 1, 1, 0
1, 0, 0, 1, 0, 0, 0
1, 0, 0, 1, 0, 1, 0
1, 0, 0, 1, 1, 0, 0
1, 0, 0, 1, 1, 1, 0
1, 0, 1, 0, 0, 0, 0
1, 0, 1, 0, 0, 1, 0
1, 0, 1, 0, 1, 0, 0
1, 0, 1, 0, 1, 1, 0
1, 0, 1, 1, 0, 0, 0
1, 0, 1, 1, 0, 1, 0
1, 0, 1, 1, 1, 0, 0
1, 0, 1, 1, 1, 1, 0
1, 1, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 1, 0
1, 1, 0, 0, 1, 0, 0
1, 1, 0, 0, 1, 1, 0
1, 1, 0, 1, 0, 0, 0
1, 1, 0, 1, 0, 1, 0
1, 1, 0, 1, 1, 0, 0
1, 1, 0, 1, 1, 1, 0
1, 1, 1, 0, 0, 0, 0
1, 1, 1, 0, 0, 1, 0
1, 1, 1, 0, 1, 0, 0
1, 1, 1, 0, 1, 1, 0
1, 1, 1, 1, 0, 0, 0
1, 1, 1, 1, 0, 1, 0
1, 1, 1, 1, 1, 0, 0
1, 1, 1, 1, 1, 1, 0
